metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.lines,218
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.tokens,1160
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonsPlace.h.newClones,0
formats.c-header.total.lines,218
formats.c-header.total.tokens,1160
formats.c-header.total.sources,1
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.lines,979
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.tokens,7017
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.sources,1
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.clones,2
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.duplicatedLines,220
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.duplicatedTokens,2070
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.percentage,22.47
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.percentageTokens,29.5
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.newDuplicatedLines,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/MASS/DGEMMCannonPlace.cpp.newClones,0
formats.cpp.total.lines,979
formats.cpp.total.tokens,7017
formats.cpp.total.sources,1
formats.cpp.total.clones,1
formats.cpp.total.duplicatedLines,110
formats.cpp.total.duplicatedTokens,1035
formats.cpp.total.percentage,11.24
formats.cpp.total.percentageTokens,14.75
formats.cpp.total.newDuplicatedLines,0
formats.cpp.total.newClones,0
total.lines,1197
total.tokens,8177
total.sources,2
total.clones,1
total.duplicatedLines,110
total.duplicatedTokens,1035
total.percentage,9.19
total.percentageTokens,12.66
total.newDuplicatedLines,0
total.newClones,0
