algorithm,scenario,M,N,K,nodes,ppn,ranks,Px,Py,runsCompleted,avgComputeSeconds,avgWaitSeconds,avgFillSeconds,avgTotalSeconds,checksum,status,logfile
CANNONS,S1Medium,8192,8192,8192,1,1,1,1,1,4,197.791467,0.000000,0.226849,198.018317,137439174899.235412597656250,OK,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes1_ppn1_ranks1_Px1_Py1.log
CANNONS,S1Medium,8192,8192,8192,1,2,2,2,1,0,,,,,,SKIP_NON_SQUARE_CANNONS,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes1_ppn2_ranks2_Px2_Py1.log
CANNONS,S1Medium,8192,8192,8192,1,4,4,2,2,4,49.121132,0.330627,0.072218,49.313139,MATCH,OK,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes1_ppn4_ranks4_Px2_Py2.log
CANNONS,S1Medium,8192,8192,8192,1,6,6,3,2,0,,,,,,SKIP_NON_SQUARE_CANNONS,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes1_ppn6_ranks6_Px3_Py2.log
CANNONS,S1Medium,8192,8192,8192,2,1,2,2,1,0,,,,,,SKIP_NON_SQUARE_CANNONS,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes2_ppn1_ranks2_Px2_Py1.log
CANNONS,S1Medium,8192,8192,8192,2,2,4,2,2,4,46.461374,0.311933,0.054935,46.697879,MATCH,OK,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes2_ppn2_ranks4_Px2_Py2.log
CANNONS,S1Medium,8192,8192,8192,2,4,8,4,2,0,,,,,,SKIP_NON_SQUARE_CANNONS,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes2_ppn4_ranks8_Px4_Py2.log
CANNONS,S1Medium,8192,8192,8192,2,6,12,4,3,0,,,,,,SKIP_NON_SQUARE_CANNONS,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes2_ppn6_ranks12_Px4_Py3.log
CANNONS,S1Medium,8192,8192,8192,4,1,4,2,2,4,46.450560,0.327190,0.053294,46.709485,MATCH,OK,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes4_ppn1_ranks4_Px2_Py2.log
CANNONS,S1Medium,8192,8192,8192,4,2,8,4,2,0,,,,,,SKIP_NON_SQUARE_CANNONS,dgemmRawLogs2/CANNONS_S1Medium_N8192_nodes4_ppn2_ranks8_Px4_Py2.log
