source,xmlPath,metric,rawMetric,value
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[3]/lines_of_code_per_line_of_comment[6],lines_of_code_per_line_of_comment,lines_of_code_per_line_of_comment,32.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[3]/lines_of_comment[5],lines_of_comment,lines_of_comment,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[3]/McCabes_cyclomatic_complexity[4],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[3]/lines_of_code[3],lines_of_code,lines_of_code,32.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[2]/lines_of_code_per_line_of_comment[6],lines_of_code_per_line_of_comment,lines_of_code_per_line_of_comment,27.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[2]/lines_of_comment[5],lines_of_comment,lines_of_comment,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[2]/McCabes_cyclomatic_complexity[4],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,3.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[2]/lines_of_code[3],lines_of_code,lines_of_code,27.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[1]/McCabes_cyclomatic_complexity_per_line_of_comment[7],mccabes_cyclomatic_complexity_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment,0.308
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/DGEMM_CANNONS/PM2/raw/cccc/PM2_DGEMM.xml,CCCC_Project/procedural_detail[2]/member_function[1]/lines_of_code_per_line_of_comment[6],lines_of_code_per_line_of_comment,lines_of_code_per_line_of_comment,6.141
