metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.lines,84
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.tokens,391
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.h.newClones,0
formats.c-header.total.lines,84
formats.c-header.total.tokens,391
formats.c-header.total.sources,1
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.lines,733
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.tokens,4840
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.sources,1
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.clones,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.duplicatedLines,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.duplicatedTokens,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.percentage,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.percentageTokens,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.newDuplicatedLines,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/CANNONS/PM2/pm2dgemmCANNONS.cpp.newClones,0
formats.cpp.total.lines,733
formats.cpp.total.tokens,4840
formats.cpp.total.sources,1
formats.cpp.total.clones,0
formats.cpp.total.duplicatedLines,0
formats.cpp.total.duplicatedTokens,0
formats.cpp.total.percentage,0
formats.cpp.total.percentageTokens,0
formats.cpp.total.newDuplicatedLines,0
formats.cpp.total.newClones,0
total.lines,817
total.tokens,5231
total.sources,2
total.clones,0
total.duplicatedLines,0
total.duplicatedTokens,0
total.percentage,0
total.percentageTokens,0
total.newDuplicatedLines,0
total.newClones,0
