11,2,37,2,13,"gcdInt@4-16@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","gcdInt","gcdInt( int leftValue , int rightValue)",4,16
22,3,73,3,25,"split1D@19-43@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","split1D","split1D( const int totalDimensionSize , const int processesInDimension , const int processIndex)",19,43
27,1,100,3,35,"valueAt@46-80@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","valueAt","valueAt( const int rowIndex , const int colIndex , const std :: uint64_t seed)",46,80
14,4,55,1,17,"parseInitType@83-99@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","parseInitType","parseInitType( const std :: string & rawInput)",83,99
102,1,280,9,114,"LocalTile::LocalTile@101-214@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","LocalTile::LocalTile","LocalTile::LocalTile( const int rowsOfAAndCValue , const int colsOfBAndCValue , const int sharedDimensionValue , const int processGridRowsValue , const int processGridColsValue , const int tileRowValue , const int tileColValue , const std :: uint64_t baseSeedValue , const std :: string & initTypeName)",101,214
25,5,83,2,29,"LocalTile::genA@216-244@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","LocalTile::genA","LocalTile::genA( const int globalRow , const int globalK) const",216,244
25,5,83,2,29,"LocalTile::genB@246-274@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","LocalTile::genB","LocalTile::genB( const int globalK , const int globalCol) const",246,274
32,3,150,2,38,"LocalTile::fillAPanelForStep@276-313@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","LocalTile::fillAPanelForStep","LocalTile::fillAPanelForStep( const int step , std :: vector<double> & outputPanel) const",276,313
32,3,150,2,38,"LocalTile::fillBPanelForStep@315-352@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","LocalTile::fillBPanelForStep","LocalTile::fillBPanelForStep( const int step , std :: vector<double> & outputPanel) const",315,352
36,2,143,2,42,"LocalTile::storeAFromPayload@354-395@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","LocalTile::storeAFromPayload","LocalTile::storeAFromPayload( const int step , const std :: vector<double> & payload)",354,395
35,2,135,2,40,"LocalTile::storeBFromPayload@397-436@/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/HPX/HPXdgemmSUMMA.cpp","LocalTile::storeBFromPayload","LocalTile::storeBFromPayload( const int step , const std :: vector<double> & payload)",397,436
