metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.lines,55
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.tokens,275
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/MASSdgemmSUMMA.h.newClones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/DGEMMPlace.h.lines,196
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/DGEMMPlace.h.tokens,1074
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/DGEMMPlace.h.sources,1
