algorithm,scenario,M,N,K,nodes,ppn,ranks,Px,Py,runsCompleted,avgComputeSeconds,avgWaitSeconds,avgFillSeconds,avgTotalSeconds,checksum,status,logfile
SUMMA,S1Medium,8192,8192,8192,1,1,1,1,1,4,196.866504,0.000004,0.222647,197.089199,137439174899.235412597656250,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes1_ppn1_ranks1_Px1_Py1.log
SUMMA,S1Medium,8192,8192,8192,1,2,2,2,1,4,98.668160,0.172580,0.113698,98.885882,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes1_ppn2_ranks2_Px2_Py1.log
SUMMA,S1Medium,8192,8192,8192,1,4,4,2,2,4,46.978215,0.505735,0.070457,47.200532,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes1_ppn4_ranks4_Px2_Py2.log
SUMMA,S1Medium,8192,8192,8192,1,6,6,3,2,4,56.992410,21.438073,0.087483,57.353230,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes1_ppn6_ranks6_Px3_Py2.log
SUMMA,S1Medium,8192,8192,8192,2,1,2,2,1,4,97.875825,0.436587,0.112590,98.407313,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes2_ppn1_ranks2_Px2_Py1.log
SUMMA,S1Medium,8192,8192,8192,2,2,4,2,2,4,44.638962,0.403534,0.060330,44.962928,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes2_ppn2_ranks4_Px2_Py2.log
SUMMA,S1Medium,8192,8192,8192,2,4,8,4,2,4,24.827671,1.666590,0.038528,25.381786,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes2_ppn4_ranks8_Px4_Py2.log
SUMMA,S1Medium,8192,8192,8192,2,6,12,4,3,4,26.097570,10.987922,0.045885,26.599769,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes2_ppn6_ranks12_Px4_Py3.log
SUMMA,S1Medium,8192,8192,8192,4,1,4,2,2,4,44.336089,0.496329,0.057170,44.692632,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes4_ppn1_ranks4_Px2_Py2.log
SUMMA,S1Medium,8192,8192,8192,4,2,8,4,2,4,23.592729,0.731155,0.035784,24.166648,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes4_ppn2_ranks8_Px4_Py2.log
SUMMA,S1Medium,8192,8192,8192,4,4,16,4,4,4,15.333199,0.988178,0.026613,15.970427,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes4_ppn4_ranks16_Px4_Py4.log
SUMMA,S1Medium,8192,8192,8192,4,6,24,6,4,4,16.661425,5.269809,0.026040,17.117470,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes4_ppn6_ranks24_Px6_Py4.log
SUMMA,S1Medium,8192,8192,8192,8,1,8,4,2,4,23.583743,0.800680,0.034312,24.092934,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes8_ppn1_ranks8_Px4_Py2.log
SUMMA,S1Medium,8192,8192,8192,8,2,16,4,4,4,15.529967,1.002991,0.033581,16.185268,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes8_ppn2_ranks16_Px4_Py4.log
SUMMA,S1Medium,8192,8192,8192,8,4,32,8,4,4,16.106004,3.012909,0.025897,18.357115,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes8_ppn4_ranks32_Px8_Py4.log
SUMMA,S1Medium,8192,8192,8192,8,6,48,8,6,4,15.869604,7.226038,0.026922,18.360134,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes8_ppn6_ranks48_Px8_Py6.log
SUMMA,S1Medium,8192,8192,8192,16,1,16,4,4,4,14.922693,4.992122,0.031357,16.593336,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes16_ppn1_ranks16_Px4_Py4.log
SUMMA,S1Medium,8192,8192,8192,16,2,32,8,4,4,13.400442,8.766639,0.022232,15.052381,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes16_ppn2_ranks32_Px8_Py4.log
SUMMA,S1Medium,8192,8192,8192,16,4,64,8,8,4,11.963609,10.706236,0.017685,14.536171,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes16_ppn4_ranks64_Px8_Py8.log
SUMMA,S1Medium,8192,8192,8192,16,6,96,12,8,0,,,,,NO_CHECKSUM,FAIL,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes16_ppn6_ranks96_Px12_Py8.log
SUMMA,S1Medium,8192,8192,8192,24,1,24,6,4,4,10.230127,4.257049,0.019357,11.569794,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes24_ppn1_ranks24_Px6_Py4.log
SUMMA,S1Medium,8192,8192,8192,24,2,48,8,6,4,8.485331,6.267597,0.021995,10.130121,MATCH,OK,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes24_ppn2_ranks48_Px8_Py6.log
SUMMA,S1Medium,8192,8192,8192,24,4,96,12,8,0,,,,,NO_CHECKSUM,FAIL,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes24_ppn4_ranks96_Px12_Py8.log
SUMMA,S1Medium,8192,8192,8192,24,6,144,12,12,0,,,,,NO_CHECKSUM,FAIL,dgemmRawLogs2/SUMMA_S1Medium_N8192_nodes24_ppn6_ranks144_Px12_Py12.log
SUMMA,S2Large,11520,11520,11520,1,1,1,1,1,4,437.706357,0.000003,0.444895,438.151300,382251987779.521667480468750,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes1_ppn1_ranks1_Px1_Py1.log
SUMMA,S2Large,11520,11520,11520,1,2,2,2,1,4,218.473636,0.605422,0.225923,219.000921,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes1_ppn2_ranks2_Px2_Py1.log
SUMMA,S2Large,11520,11520,11520,1,4,4,2,2,4,120.458807,1.121746,0.143067,120.932788,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes1_ppn4_ranks4_Px2_Py2.log
SUMMA,S2Large,11520,11520,11520,1,6,6,3,2,4,131.468846,43.253936,0.165760,132.158089,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes1_ppn6_ranks6_Px3_Py2.log
SUMMA,S2Large,11520,11520,11520,2,1,2,2,1,4,211.971476,1.693708,0.228737,213.120632,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes2_ppn1_ranks2_Px2_Py1.log
SUMMA,S2Large,11520,11520,11520,2,2,4,2,2,4,109.389547,1.149458,0.118130,109.948465,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes2_ppn2_ranks4_Px2_Py2.log
SUMMA,S2Large,11520,11520,11520,2,4,8,4,2,4,58.736258,1.472470,0.070975,59.488099,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes2_ppn4_ranks8_Px4_Py2.log
SUMMA,S2Large,11520,11520,11520,2,6,12,4,3,4,66.487983,24.872615,0.093360,67.373982,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes2_ppn6_ranks12_Px4_Py3.log
SUMMA,S2Large,11520,11520,11520,4,1,4,2,2,4,108.150612,0.733164,0.120221,108.814038,MATCH,OK,dgemmRawLogs2/SUMMA_S2Large_N11520_nodes4_ppn1_ranks4_Px2_Py2.log
