metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.lines,84
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.tokens,391
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.h.newClones,0
formats.c-header.total.lines,84
formats.c-header.total.tokens,391
formats.c-header.total.sources,1
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.lines,770
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.tokens,5252
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.sources,1
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.clones,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.duplicatedLines,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.duplicatedTokens,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.percentage,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.percentageTokens,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.newDuplicatedLines,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/PM2/pm2dgemmSUMMA.cpp.newClones,0
formats.cpp.total.lines,770
formats.cpp.total.tokens,5252
formats.cpp.total.sources,1
formats.cpp.total.clones,0
formats.cpp.total.duplicatedLines,0
formats.cpp.total.duplicatedTokens,0
formats.cpp.total.percentage,0
formats.cpp.total.percentageTokens,0
formats.cpp.total.newDuplicatedLines,0
formats.cpp.total.newClones,0
total.lines,854
total.tokens,5643
total.sources,2
total.clones,0
total.duplicatedLines,0
total.duplicatedTokens,0
total.percentage,0
total.percentageTokens,0
total.newDuplicatedLines,0
total.newClones,0
