metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.lines,205
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.tokens,849
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/MASS/Heat3DPlace.h.newClones,0
formats.c-header.total.lines,205
formats.c-header.total.tokens,849
formats.c-header.total.sources,1
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
total.lines,205
total.tokens,849
total.sources,1
total.clones,0
total.duplicatedLines,0
total.duplicatedTokens,0
total.percentage,0
total.percentageTokens,0
total.newDuplicatedLines,0
total.newClones,0
