scenario,gridX,gridY,gridZ,timesteps,nodes,ppn,ranks,decompX,decompY,decompZ,outerRunsCompleted,heatRunsUsed,avgHaloWallRankMs,avgComputeWallRankMs,avgWallMaxMs,avgHaloMaxMs,avgComputeMaxMs,finalWallRank,finalChecksum,status,logfile
S1Medium,768,768,768,512,1,1,1,1,1,1,1,3,8901.701,487908.326,496810.263,8901.701,487908.326,0,22648818628.373900000000000,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes1_ppn1_ranks1.log
S1Medium,768,768,768,512,1,2,2,1,1,2,1,3,7075.176,328546.382,335621.899,7525.540,328986.617,0,22648818628.383417669677734,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes1_ppn2_ranks2.log
S1Medium,768,768,768,512,1,4,4,1,2,2,1,3,6401.220,264147.249,270548.908,7684.097,264262.322,1,22648818628.376429144287109,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes1_ppn4_ranks4.log
S1Medium,768,768,768,512,1,6,6,1,2,3,1,3,78928.693,202784.208,281713.464,79236.673,274042.908,5,22648818628.372889105224609,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes1_ppn6_ranks6.log
S1Medium,768,768,768,512,2,1,2,1,1,2,1,3,9962.188,237044.302,247006.790,10337.354,238294.586,0,22648818628.383417669677734,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes2_ppn1_ranks2.log
S1Medium,768,768,768,512,2,2,4,1,2,2,1,3,7239.511,153686.802,160926.583,7508.723,154410.336,1,22648818628.376429144287109,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes2_ppn2_ranks4.log
S1Medium,768,768,768,512,2,4,8,2,2,2,1,3,9122.758,117911.689,127034.905,9646.024,119535.631,7,22648818628.377287451171875,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes2_ppn4_ranks8.log
S1Medium,768,768,768,512,2,6,12,2,2,3,1,3,64090.140,71318.266,135408.835,64090.140,127049.259,11,22648818628.378893438720703,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes2_ppn6_ranks12.log
S1Medium,768,768,768,512,4,1,4,1,2,2,1,3,7903.339,153205.240,161108.907,8152.787,154472.474,3,22648818628.376429144287109,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes4_ppn1_ranks4.log
S1Medium,768,768,768,512,4,2,8,2,2,2,1,3,10883.677,117927.011,128811.237,11929.052,120982.184,6,22648818628.377287451171875,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes4_ppn2_ranks8.log
S1Medium,768,768,768,512,4,4,16,2,2,4,1,3,50973.824,78701.441,129676.094,58029.605,90296.790,13,22648818628.377512518310547,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes4_ppn4_ranks16.log
S1Medium,768,768,768,512,4,6,24,2,3,4,1,3,68667.824,56753.877,125422.527,84193.801,89501.087,23,22648818628.376364294433593,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes4_ppn6_ranks24.log
S1Medium,768,768,768,512,8,1,8,2,2,2,1,3,9287.942,119577.714,128866.161,11004.566,119933.740,2,22648818628.377287451171875,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes8_ppn1_ranks8.log
S1Medium,768,768,768,512,8,2,16,2,2,4,1,3,49295.214,81159.003,130454.984,51821.558,88596.675,15,22648818628.377512518310547,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes8_ppn2_ranks16.log
S1Medium,768,768,768,512,8,4,32,2,4,4,1,3,20038.023,90349.330,110389.044,26288.303,95193.391,1,22648818628.376432958984375,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes8_ppn4_ranks32.log
S1Medium,768,768,768,512,8,6,48,3,4,4,1,3,71684.282,45632.453,117318.674,72017.402,97073.440,23,22648818628.376085821533203,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes8_ppn6_ranks48.log
S1Medium,768,768,768,512,16,1,16,2,2,4,1,3,10069.353,88756.725,98826.916,80898.405,89408.565,3,22648818628.377512518310547,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes16_ppn1_ranks16.log
S1Medium,768,768,768,512,16,2,32,2,4,4,1,3,44124.430,41146.384,85271.535,76968.078,68057.255,7,22648818628.376432958984375,OK,heat3dRawLogs/S1Medium_X768_Y768_Z768_T512_nodes16_ppn2_ranks32.log
