metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.lines,131
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.tokens,659
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/Heat3D/PM2/pm2heat3d.h.newClones,0
formats.c-header.total.lines,131
formats.c-header.total.tokens,659
formats.c-header.total.sources,1
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
total.lines,131
total.tokens,659
total.sources,1
total.clones,0
total.duplicatedLines,0
total.duplicatedTokens,0
total.percentage,0
total.percentageTokens,0
total.newDuplicatedLines,0
total.newClones,0
