metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.lines,219
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.tokens,1090
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/HPX/HPXmotifsearch.h.newClones,0
formats.c-header.total.lines,219
formats.c-header.total.tokens,1090
formats.c-header.total.sources,1
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
total.lines,219
total.tokens,1090
total.sources,1
total.clones,0
total.duplicatedLines,0
total.duplicatedTokens,0
total.percentage,0
total.percentageTokens,0
total.newDuplicatedLines,0
total.newClones,0
