metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.lines,167
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.tokens,764
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.h.newClones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.lines,143
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.tokens,719
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearch.h.newClones,0
formats.c-header.total.lines,310
formats.c-header.total.tokens,1483
formats.c-header.total.sources,2
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.lines,675
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.tokens,3928
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.sources,1
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.clones,2
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.duplicatedLines,48
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.duplicatedTokens,280
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.percentage,7.11
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.percentageTokens,7.13
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.newDuplicatedLines,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/MASS/MASSmotifsearchMotifPlace.cpp.newClones,0
formats.cpp.total.lines,675
formats.cpp.total.tokens,3928
formats.cpp.total.sources,1
formats.cpp.total.clones,1
formats.cpp.total.duplicatedLines,24
formats.cpp.total.duplicatedTokens,140
formats.cpp.total.percentage,3.56
formats.cpp.total.percentageTokens,3.56
formats.cpp.total.newDuplicatedLines,0
formats.cpp.total.newClones,0
total.lines,985
total.tokens,5411
total.sources,3
total.clones,1
total.duplicatedLines,24
total.duplicatedTokens,140
total.percentage,2.44
total.percentageTokens,2.59
total.newDuplicatedLines,0
total.newClones,0
