metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.lines,142
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.tokens,837
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.h.newClones,0
formats.c-header.total.lines,142
formats.c-header.total.tokens,837
formats.c-header.total.sources,1
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.lines,788
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.tokens,5762
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.sources,1
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.clones,4
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.duplicatedLines,52
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.duplicatedTokens,422
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.percentage,6.6
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.percentageTokens,7.32
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.newDuplicatedLines,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/MotifSearch/PM2/pm2motifsearch.cpp.newClones,0
formats.cpp.total.lines,788
formats.cpp.total.tokens,5762
formats.cpp.total.sources,1
formats.cpp.total.clones,2
formats.cpp.total.duplicatedLines,26
formats.cpp.total.duplicatedTokens,211
formats.cpp.total.percentage,3.3
formats.cpp.total.percentageTokens,3.66
formats.cpp.total.newDuplicatedLines,0
formats.cpp.total.newClones,0
total.lines,930
total.tokens,6599
total.sources,2
total.clones,2
total.duplicatedLines,26
total.duplicatedTokens,211
total.percentage,2.8
total.percentageTokens,3.2
total.newDuplicatedLines,0
total.newClones,0
