source,xmlPath,metric,rawMetric,value
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[46]/lines_of_code_per_line_of_comment[5],lines_of_code_per_line_of_comment,lines_of_code_per_line_of_comment,43.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[46]/lines_of_comment[4],lines_of_comment,lines_of_comment,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[46]/McCabes_cyclomatic_complexity[3],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,4.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[46]/lines_of_code[2],lines_of_code,lines_of_code,43.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[45]/lines_of_comment[4],lines_of_comment,lines_of_comment,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[45]/McCabes_cyclomatic_complexity[3],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[45]/lines_of_code[2],lines_of_code,lines_of_code,10.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[44]/lines_of_comment[4],lines_of_comment,lines_of_comment,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[44]/McCabes_cyclomatic_complexity[3],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,3.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[44]/lines_of_code[2],lines_of_code,lines_of_code,16.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[43]/McCabes_cyclomatic_complexity_per_line_of_comment[6],mccabes_cyclomatic_complexity_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment,7.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[43]/lines_of_code_per_line_of_comment[5],lines_of_code_per_line_of_comment,lines_of_code_per_line_of_comment,51.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[43]/lines_of_comment[4],lines_of_comment,lines_of_comment,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[43]/McCabes_cyclomatic_complexity[3],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,7.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[43]/lines_of_code[2],lines_of_code,lines_of_code,51.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[42]/lines_of_comment[4],lines_of_comment,lines_of_comment,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[42]/McCabes_cyclomatic_complexity[3],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,1.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[42]/lines_of_code[2],lines_of_code,lines_of_code,12.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[41]/lines_of_code_per_line_of_comment[6],lines_of_code_per_line_of_comment,lines_of_code_per_line_of_comment,26.5
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/SugarScape/HPX/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[41]/lines_of_comment[5],lines_of_comment,lines_of_comment,2.0
