metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.lines,163
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.tokens,913
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/HPX/HPXsugarscape.h.newClones,0
formats.c-header.total.lines,163
formats.c-header.total.tokens,913
formats.c-header.total.sources,1
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
total.lines,163
total.tokens,913
total.sources,1
total.clones,0
total.duplicatedLines,0
total.duplicatedTokens,0
total.percentage,0
total.percentageTokens,0
total.newDuplicatedLines,0
total.newClones,0
