metric,value
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.lines,395
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.tokens,2749
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/SugarChunk.h.newClones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.lines,132
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.tokens,772
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.sources,1
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.clones,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.duplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.duplicatedTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.percentage,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.percentageTokens,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.newDuplicatedLines,0
formats.c-header.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.h.newClones,0
formats.c-header.total.lines,527
formats.c-header.total.tokens,3521
formats.c-header.total.sources,2
formats.c-header.total.clones,0
formats.c-header.total.duplicatedLines,0
formats.c-header.total.duplicatedTokens,0
formats.c-header.total.percentage,0
formats.c-header.total.percentageTokens,0
formats.c-header.total.newDuplicatedLines,0
formats.c-header.total.newClones,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.lines,967
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.tokens,7180
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.sources,1
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.clones,2
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.duplicatedLines,24
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.duplicatedTokens,234
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.percentage,2.48
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.percentageTokens,3.26
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.newDuplicatedLines,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/SugarScape/MASS/MASSsugarscape.cpp.newClones,0
formats.cpp.total.lines,967
formats.cpp.total.tokens,7180
formats.cpp.total.sources,1
formats.cpp.total.clones,1
formats.cpp.total.duplicatedLines,12
formats.cpp.total.duplicatedTokens,117
formats.cpp.total.percentage,1.24
formats.cpp.total.percentageTokens,1.63
formats.cpp.total.newDuplicatedLines,0
formats.cpp.total.newClones,0
total.lines,1494
total.tokens,10701
total.sources,3
total.clones,1
total.duplicatedLines,12
total.duplicatedTokens,117
total.percentage,0.8
total.percentageTokens,1.09
total.newDuplicatedLines,0
total.newClones,0
